#Ra, Dec, RRLIndicator, RRLtype, P_true, P_best, chi2dof, N, tID, phi, r0, P_template, rExt, d, uF, gF, rF, iF, zF, ugmin, ugminErr, grmin, grminErr, file #  
352.765817714,1.06084403669,1,ab,0.498291619669,0.498294665214,3.84579979957,22,54,-0.0936141954587,16.1390004791,0.469392103369,0.101,17.31,18.007,16.87,16.813,16.822,16.817,1.127,0.001,0.223,0.001,2749764231858432743.pkl
7.83021322345,0.848805624968,1,ab,0.622183830568,0.622139019572,0.56356259438,22,44,-0.0671861933281,18.7318161992,0.546682232921,0.068,50.54,20.319,19.234,19.083,19.043,19.012,1.078,0.034,0.267,0.01,2762624119856736468.pkl
10.5518080922,-0.71428606213,1,ab,0.603455885245,0.603459153305,1.63741532593,21,240,0.152795631574,16.1563332724,0.55060434983,0.056,16.24,17.906,16.75,16.644,16.613,16.626,1.093,0.012,0.245,0.014,2798424218457216577.pkl
8.92900241675,0.931628767132,1,ab,0.609832920947,0.60982015335,1.95502202432,24,292,-0.291691805599,16.8713219142,0.664944890686,0.056,21.22,18.529,17.354,17.194,17.139,17.126,1.141,0.018,0.269,0.007,2816614538827190603.pkl
350.117132439,0.0919499204412,1,ab,0.642761030656,0.642767791333,1.44574388982,22,280,0.155982421074,16.8932762943,0.642361934234,0.132,20.03,18.42,17.26,17.029,16.951,16.936,1.151,0.008,0.269,0.003,2821997747756713673.pkl
348.643202832,-1.09463786985,1,ab,0.486398264091,0.486407989148,9.23259929591,25,358,0.189303391467,17.1120844657,0.574297585526,0.119,23.92,18.747,17.574,17.513,17.514,17.544,1.147,0.028,0.213,0.012,2822138485245202117.pkl
10.9902263341,0.0379597220648,1,ab,0.907496629521,0.631128277382,9.12570566519,21,154,-0.292077610149,15.3710878771,0.639304964829,0.046,11.11,17.063,15.902,15.852,15.839,15.845,1.153,0.006,0.188,0.003,2870499404680863895.pkl
347.855913603,-0.761463734814,1,ab,0.606785148394,0.606842419899,0.604052782603,24,30,0.0881834890636,19.7418272701,0.673152608812,0.097,81.47,21.287,20.272,20.12,20.065,20.05,1.109,0.027,0.234,0.014,2876216865145743696.pkl
349.544963671,0.857024901624,1,ab,0.630911694543,0.594201473765,0.537003634963,24,46,-0.107603134805,19.9671744209,0.643172792954,0.156,83.02,21.304,20.337,20.13,20.054,20.008,1.064,0.219,0.264,0.005,2894037749608611317.pkl
10.356803269,1.14977497978,1,c,0.339003694734,0.57303044263,8.87814064854,26,274,-0.291335068118,17.0854697197,0.570380002634,0.057,21.84,18.508,17.364,17.328,17.34,17.366,1.109,0.03,0.13,0.005,2906633754816311174.pkl
