#Ra, Dec, RRLIndicator, RRLtype, P_true, P_best, chi2dof, N, tID, phi, r0, P_template, rExt, d, uF, gF, rF, iF, zF, ugmin, ugminErr, grmin, grminErr, file_number, F
2.57534763751,1.17049850018,1,ab,0.738329601782,0.738321274941,1.44816369826,30,8,0.208404715387,15.0691953493,0.641688738048,0.067,8.6,16.54,15.416,15.201,15.111,15.096,1.107,0.008,0.265,0.003,2510704015700661800,1.11403685855
354.249292838,-0.945111379053,1,ab,0.589419729139,0.589461221846,1.25124043511,37,114,-0.060383199541,18.9327521429,0.604808830923,0.102,55.69,20.63,19.463,19.273,19.221,19.226,1.127,0.026,0.269,0.009,2551641032626136668,0.948490032792
355.822028035,1.17423006123,1,ab,0.600623084598,0.600632349796,2.51877596832,28,57,0.169576041186,16.500629523,0.645405370962,0.084,18.07,18.191,17.021,16.826,16.756,16.737,1.164,0.005,0.28,0.005,2587458723412695465,1.01483588757
353.512576091,-0.566387479064,1,ab,0.626164075273,0.626157003575,1.05762265515,34,45,0.217156730163,17.7583776067,0.636862677328,0.112,31.64,19.444,18.244,18.033,17.963,17.955,1.176,0.019,0.282,0.011,2605701820340700672,1.03821050436
6.38724113068,0.00673876496024,1,ab,0.555802020255,0.555824069432,2.29572113903,28,206,-0.102417293659,16.3068037945,0.580767811149,0.074,17.39,18.026,16.908,16.781,16.739,16.723,1.123,0.012,0.227,0.009,2636540922476256604,1.13355639025
5.35702156327,1.00628583884,1,c,0.352261065186,0.495276707018,9.13334195171,32,36,-0.12862322572,17.1072094606,0.55036964148,0.059,21.3,18.512,17.32,17.257,17.256,17.273,1.174,0.01,0.129,0.004,2636664067778855617,0.823891335585
354.635593834,0.856451083923,1,c,0.275605521495,0.379956184853,1.09821366325,26,380,-0.141361661062,19.0208052299,0.366136119031,0.094,51.69,20.353,19.239,19.192,19.201,19.2,1.097,0.034,0.129,0.01,2641589879871187411,0.805276878098
352.251414017,-1.05069911186,1,ab,0.587521807809,0.587511938764,3.25008611214,28,161,0.0168325800782,15.1087553949,0.610646561655,0.113,9.69,16.818,15.649,15.493,15.435,15.426,1.16,0.011,0.255,0.005,2641818578289741312,1.09545343398
6.20758648034,1.2156545377,1,ab,0.680391929066,0.680410808691,15.7564941325,32,36,-0.255090211618,15.2510452167,0.55036964148,0.07,9.86,16.865,15.692,15.525,15.482,15.47,1.143,0.003,0.262,0.008,2690672078934878590,1.15444905619
353.657634075,1.16598625516,1,ab,0.671164657116,0.671169283243,0.564910816302,28,123,-0.190819461513,19.1707106072,0.570429663717,0.103,63.24,20.853,19.735,19.552,19.499,19.461,0.998,0.066,0.273,0.008,2695668259771813829,0.925528688646
7.18820767924,0.539369416139,1,ab,0.607426252954,0.607419677192,1.95738296431,28,20,-0.0563506090927,15.8636532416,0.630760808405,0.064,12.65,17.394,16.244,16.053,15.998,15.997,1.152,0.01,0.277,0.007,2708598516514357675,1.03614830431
352.217795873,0.482737367632,1,ab,0.536350731455,0.508289600165,10.5514294598,29,15,0.141634040359,17.7294235593,0.716773238643,0.097,30.46,19.241,18.116,18.013,17.97,17.994,1.073,0.016,0.236,0.006,2731802609907107893,1.03302831378
352.765817714,1.06084403669,1,ab,0.498291619669,0.498296312131,3.27088521861,26,131,0.230745482872,16.2206058371,0.486398264091,0.101,17.31,18.007,16.87,16.813,16.822,16.817,1.127,0.001,0.223,0.001,2749764231858432743,1.04211684856
7.83021322345,0.848805624968,1,ab,0.622183830568,0.622148072709,0.506933800699,29,271,-0.266980817996,18.6920052822,0.546682232921,0.068,50.54,20.319,19.234,19.083,19.043,19.012,1.078,0.034,0.267,0.01,2762624119856736468,1.05976076232
10.5518080922,-0.71428606213,1,ab,0.603455885245,0.603461887168,0.976666028351,27,213,-0.100720587416,16.1896984335,0.523824647617,0.056,16.24,17.906,16.75,16.644,16.613,16.626,1.093,0.012,0.245,0.014,2798424218457216577,1.06420990868
8.92900241675,0.931628767132,1,ab,0.609832920947,0.609823915252,1.34719206948,29,83,-0.0250833407377,16.8595286072,0.664944890686,0.056,21.22,18.529,17.354,17.194,17.139,17.126,1.141,0.018,0.269,0.007,2816614538827190603,1.03702871684
350.117132439,0.0919499204412,1,ab,0.642761030656,0.642774554941,0.888665017556,27,100,0.195625118868,16.9229041976,0.77825435994,0.132,20.03,18.42,17.26,17.029,16.951,16.936,1.151,0.008,0.269,0.003,2821997747756713673,1.18606884355
